Filename,Date,Experiment,Replicate,Substrate,SubstrateType,ObservationType,Mass (g),TransferTime (s),PersistenceTime (min),Temperature (DegC),Humidity (%)
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
IMG_001.JPG,20200101,1,2,sub,subType,obsType,3,4,5,6,7
